parent,child,group,flag,predict,pred_flag
Probability and statistics,Probabilistic representations,10002950_2,True,0.8162708282470703,True
Probability and statistics,Nonparametric representations,10002950_2,False,0.8224446177482605,True
Probability and statistics,Probabilistic inference problems,10002950_2,True,0.8323048949241638,True
Probability and statistics,Density estimation,10002950_2,False,0.8113917708396912,True
Probability and statistics,Probabilistic reasoning algorithms,10002950_2,True,0.8316318392753601,True
Probability and statistics,Markov-chain Monte Carlo methods,10002950_2,False,0.8474570512771606,True
Probability and statistics,Resampling methods,10002950_2,False,0.8286979794502258,True
Probability and statistics,Statistical paradigms,10002950_2,True,0.828262209892273,True
Probability and statistics,Regression analysis,10002950_2,False,0.8030033111572266,True
Probability and statistics,Stochastic processes,10002950_2,True,0.8073214888572693,True
Probability and statistics,Bayesian networks,10002950_2,False,0.834736704826355,True
Probability and statistics,Markov networks,10002950_2,False,0.8564729690551758,True
Probability and statistics,Factor graphs,10002950_2,False,0.8378285765647888,True
Probability and statistics,Decision diagrams,10002950_2,False,0.8251457810401917,True
Probability and statistics,Equational models,10002950_2,False,0.8136811852455139,True
Probability and statistics,Causal networks,10002950_2,False,0.8486217260360718,True
Probability and statistics,Stochastic differential equations,10002950_2,False,0.8214517831802368,True
Probability and statistics,Kernel density estimators,10002950_2,False,0.8463868498802185,True
Probability and statistics,Spline models,10002950_2,False,0.8459986448287964,True
Probability and statistics,Bayesian nonparametric models,10002950_2,False,0.8480197787284851,True
Probability and statistics,Maximum likelihood estimation,10002950_2,False,0.8142247796058655,True
Probability and statistics,Bayesian computation,10002950_2,False,0.8289257884025574,True
Probability and statistics,Computing most probable explanation,10002950_2,False,0.790128767490387,True
Probability and statistics,Hypothesis testing and confidence interval computation,10002950_2,False,0.8247900605201721,True
Probability and statistics,Quantile regression,10002950_2,False,0.8405247926712036,True
Probability and statistics,Max marginal computation,10002950_2,False,0.8456506133079529,True
Probability and statistics,Variable elimination,10002950_2,False,0.8210023641586304,True
Probability and statistics,Loopy belief propagation,10002950_2,False,0.8754395246505737,True
Probability and statistics,Variational methods,10002950_2,False,0.8275872468948364,True
Probability and statistics,Expectation maximization,10002950_2,False,0.8352150917053223,True
Probability and statistics,Gibbs sampling,10002950_2,False,0.8363049626350403,True
Probability and statistics,Metropolis-Hastings algorithm,10002950_2,False,0.8549807667732239,True
Probability and statistics,Simulated annealing,10002950_2,False,0.8476005792617798,True
Probability and statistics,Markov-chain Monte Carlo convergence measures,10002950_2,False,0.854870617389679,True
Probability and statistics,Sequential Monte Carlo methods,10002950_2,False,0.8516166806221008,True
Probability and statistics,Kalman filters and hidden Markov models,10002950_2,False,0.8089642524719238,True
Probability and statistics,Bootstrapping,10002950_2,False,0.8245220184326172,True
Probability and statistics,Jackknifing,10002950_2,False,0.8154960870742798,True
Probability and statistics,Random number generation,10002950_2,False,0.8013281226158142,True
Probability and statistics,Probabilistic algorithms,10002950_2,True,0.8141397833824158,True
Probability and statistics,Queueing theory,10002950_2,False,0.8400128483772278,True
Probability and statistics,Contingency table analysis,10002950_2,False,0.811441957950592,True
Probability and statistics,Robust regression,10002950_2,False,0.8242371678352356,True
Probability and statistics,Time series analysis,10002950_2,False,0.8306057453155518,True
Probability and statistics,Survival analysis,10002950_2,False,0.8267940878868103,True
Probability and statistics,Renewal theory,10002950_2,False,0.8426799178123474,True
Probability and statistics,Dimensionality reduction,10002950_2,False,0.8347825407981873,True
Probability and statistics,Cluster analysis,10002950_2,False,0.8371081352233887,True
Probability and statistics,Statistical graphics,10002950_2,False,0.8351088166236877,True
Probability and statistics,Exploratory data analysis,10002950_2,False,0.8191153407096863,True
Probability and statistics,Markov processes,10002950_2,False,0.8206353783607483,True
Probability and statistics,Nonparametric statistics,10002950_2,True,0.834422767162323,True
Probability and statistics,Distribution functions,10002950_2,True,0.7978596687316895,True
Probability and statistics,Multivariate statistics,10002950_2,True,0.8351279497146606,True
Probabilistic representations,Probability and statistics,10002950_2,False,0.8259290456771851,True
Probabilistic representations,Nonparametric representations,10002950_2,True,0.7699952125549316,True
Probabilistic representations,Probabilistic inference problems,10002950_2,False,0.8624305725097656,True
Probabilistic representations,Density estimation,10002950_2,False,0.8270763158798218,True
Probabilistic representations,Probabilistic reasoning algorithms,10002950_2,False,0.8327272534370422,True
Probabilistic representations,Markov-chain Monte Carlo methods,10002950_2,False,0.8765157461166382,True
Probabilistic representations,Resampling methods,10002950_2,False,0.837037205696106,True
Probabilistic representations,Statistical paradigms,10002950_2,False,0.8096911311149597,True
Probabilistic representations,Regression analysis,10002950_2,False,0.809886634349823,True
Probabilistic representations,Stochastic processes,10002950_2,False,0.8326147794723511,True
Probabilistic representations,Bayesian networks,10002950_2,True,0.8715692162513733,True
Probabilistic representations,Markov networks,10002950_2,True,0.8733699321746826,True
Probabilistic representations,Factor graphs,10002950_2,True,0.8681410551071167,True
Probabilistic representations,Decision diagrams,10002950_2,True,0.8501760363578796,True
Probabilistic representations,Equational models,10002950_2,True,0.8331806063652039,True
Probabilistic representations,Causal networks,10002950_2,True,0.842239260673523,True
Probabilistic representations,Stochastic differential equations,10002950_2,True,0.8735690712928772,True
Probabilistic representations,Kernel density estimators,10002950_2,False,0.8691197037696838,True
Probabilistic representations,Spline models,10002950_2,False,0.8787206411361694,True
Probabilistic representations,Bayesian nonparametric models,10002950_2,False,0.848045825958252,True
Probabilistic representations,Maximum likelihood estimation,10002950_2,False,0.8434599041938782,True
Probabilistic representations,Bayesian computation,10002950_2,False,0.8638153672218323,True
Probabilistic representations,Computing most probable explanation,10002950_2,False,0.8155037760734558,True
Probabilistic representations,Hypothesis testing and confidence interval computation,10002950_2,False,0.8542054295539856,True
Probabilistic representations,Quantile regression,10002950_2,False,0.8568993806838989,True
Probabilistic representations,Max marginal computation,10002950_2,False,0.858385443687439,True
Probabilistic representations,Variable elimination,10002950_2,False,0.7995114922523499,True
Probabilistic representations,Loopy belief propagation,10002950_2,False,0.8947908878326416,True
Probabilistic representations,Variational methods,10002950_2,False,0.8588529825210571,True
Probabilistic representations,Expectation maximization,10002950_2,False,0.8640195727348328,True
Probabilistic representations,Gibbs sampling,10002950_2,False,0.8555828332901001,True
Probabilistic representations,Metropolis-Hastings algorithm,10002950_2,False,0.8861069679260254,True
Probabilistic representations,Simulated annealing,10002950_2,False,0.8499981760978699,True
Probabilistic representations,Markov-chain Monte Carlo convergence measures,10002950_2,False,0.8688871264457703,True
